Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,71.169998,71.449997,69.309998,70.120003,70.120003,770400
2021-03-05,72.500000,72.500000,70.010002,71.830002,71.830002,781800
2021-03-08,69.050003,69.400002,68.129997,68.589996,68.589996,1115900
2021-03-09,68.599998,69.489998,68.190002,69.099998,69.099998,698400
2021-03-10,69.000000,69.980003,68.440002,68.489998,68.489998,730600
2021-03-11,69.080002,70.680000,69.000000,69.389999,69.389999,773200
2021-03-12,69.260002,69.430000,68.800003,69.199997,69.199997,400800
2021-03-15,70.690002,71.239998,70.500000,71.180000,71.180000,509400
2021-03-16,73.349998,73.900002,73.000000,73.260002,73.260002,654800
2021-03-17,72.010002,73.500000,71.430000,73.120003,73.120003,438100
2021-03-18,72.199997,72.330002,71.220001,71.510002,71.510002,365400
2021-03-19,71.169998,72.080002,70.820000,72.080002,72.080002,538900
2021-03-22,73.440002,73.629997,72.070000,73.059998,73.059998,307800
2021-03-23,74.290001,74.290001,73.459999,73.699997,73.699997,441400
2021-03-24,72.849998,73.379997,71.980003,72.010002,72.010002,505400
2021-03-25,71.580002,71.580002,70.599998,71.139999,71.139999,535600
2021-03-26,73.349998,73.500000,72.080002,73.120003,73.120003,347400
2021-03-29,73.000000,73.120003,71.680000,72.800003,72.800003,342400
2021-03-30,71.500000,72.680000,71.379997,72.400002,72.400002,242300
2021-03-31,70.680000,71.120003,70.029999,70.800003,70.800003,570000
2021-04-01,71.040001,72.300003,71.040001,71.820000,71.820000,377800
2021-04-05,72.330002,72.330002,71.139999,72.180000,72.180000,207900
2021-04-06,73.070000,73.070000,72.199997,72.860001,72.860001,293800
2021-04-07,72.660004,73.000000,72.400002,72.699997,72.699997,418600
2021-04-08,73.620003,74.949997,73.620003,74.260002,74.260002,151100
2021-04-09,73.510002,74.349998,73.309998,74.000000,74.000000,177400
2021-04-12,72.510002,74.150002,72.510002,74.139999,74.139999,177800
2021-04-13,75.000000,76.000000,74.279999,75.900002,75.900002,365400
2021-04-14,75.290001,76.010002,74.910004,75.080002,75.080002,221400
2021-04-15,74.419998,75.250000,74.419998,74.940002,74.940002,236700
2021-04-16,74.750000,75.230003,74.110001,74.849998,74.849998,299300
2021-04-19,73.260002,74.470001,72.300003,73.019997,73.019997,390200
2021-04-20,73.489998,73.489998,72.160004,72.379997,72.379997,464300
2021-04-21,72.250000,73.139999,72.199997,73.059998,73.059998,197900
2021-04-22,72.300003,72.739998,71.550003,72.190002,72.190002,272400
2021-04-23,73.400002,73.400002,72.209999,72.449997,72.449997,599800
2021-04-26,70.620003,71.449997,70.599998,71.110001,71.110001,1222300
2021-04-27,70.010002,71.040001,70.010002,70.139999,70.139999,294100
2021-04-28,70.879997,72.089996,70.879997,71.389999,71.389999,188400
2021-04-29,73.160004,73.160004,70.180000,71.110001,71.110001,195100
2021-04-30,70.750000,71.949997,70.750000,71.889999,71.889999,303100
2021-05-03,72.320000,72.949997,72.000000,72.480003,72.480003,429200
2021-05-04,72.000000,72.430000,70.709999,71.050003,71.050003,414500
2021-05-05,71.500000,72.349998,71.500000,72.300003,72.300003,436300
2021-05-06,68.080002,70.260002,68.080002,70.010002,70.010002,760000
2021-05-07,69.379997,70.500000,68.750000,68.989998,68.989998,1236200
2021-05-10,71.010002,71.760002,70.449997,70.650002,70.650002,1122500
2021-05-11,71.199997,71.760002,70.660004,71.550003,71.550003,1170900
2021-05-12,70.540001,70.599998,69.410004,69.519997,69.519997,336600
2021-05-13,69.300003,69.389999,67.860001,68.599998,68.599998,1598900
2021-05-14,70.000000,71.250000,70.000000,70.529999,70.529999,383700
2021-05-17,71.019997,71.910004,70.870003,71.320000,71.320000,348100
2021-05-18,70.879997,71.330002,70.300003,70.400002,70.400002,648500
2021-05-19,70.680000,71.800003,70.680000,71.800003,71.800003,392900
2021-05-20,71.279999,72.449997,71.279999,71.930000,71.930000,1071600
2021-05-21,73.849998,74.050003,72.900002,73.370003,73.370003,505600
2021-05-24,74.589996,75.199997,74.410004,75.099998,75.099998,531500
2021-05-25,76.500000,76.709999,76.040001,76.449997,76.449997,314100
2021-05-26,77.949997,77.949997,77.019997,77.370003,77.370003,217500
2021-05-27,76.449997,76.750000,76.300003,76.629997,76.629997,265700
2021-05-28,76.919998,77.639999,76.919998,77.320000,77.320000,231200
2021-06-01,75.900002,76.989998,75.180000,76.010002,76.010002,298400
2021-06-02,76.510002,76.919998,76.019997,76.250000,76.250000,234200
2021-06-03,76.279999,77.239998,76.059998,76.300003,76.300003,311400
2021-06-04,77.320000,78.050003,76.489998,77.790001,77.790001,156800
